timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/09/23 11:29:59.133, 1, 88 %, 1739 MiB, 133.61 W
2026/09/23 11:29:59.135, 2, 90 %, 1775 MiB, 132.21 W
2026/09/23 11:29:59.136, 3, 94 %, 1741 MiB, 133.97 W
2026/09/23 11:30:09.139, 0, 91 %, 1737 MiB, 142.86 W
2026/09/23 11:30:09.140, 1, 86 %, 1739 MiB, 134.49 W
2026/09/23 11:30:09.141, 2, 90 %, 1775 MiB, 137.05 W
2026/09/23 11:30:09.142, 3, 94 %, 1739 MiB, 135.90 W
2026/09/23 11:30:19.145, 0, 66 %, 1737 MiB, 81.73 W
2026/09/23 11:30:19.146, 1, 72 %, 1739 MiB, 75.80 W
2026/09/23 11:30:19.147, 2, 90 %, 1775 MiB, 77.46 W
2026/09/23 11:30:19.148, 3, 92 %, 1739 MiB, 77.36 W
2026/09/23 11:30:29.150, 0, 91 %, 1895 MiB, 135.33 W
2026/09/23 11:30:29.152, 1, 87 %, 1899 MiB, 121.73 W
2026/09/23 11:30:29.153, 2, 90 %, 1775 MiB, 122.69 W
2026/09/23 11:30:29.154, 3, 93 %, 1899 MiB, 123.50 W
2026/09/23 11:30:39.157, 0, 60 %, 1739 MiB, 144.41 W
2026/09/23 11:30:39.158, 1, 87 %, 1739 MiB, 129.76 W
2026/09/23 11:30:39.159, 2, 79 %, 1775 MiB, 132.69 W
2026/09/23 11:30:39.160, 3, 91 %, 1741 MiB, 132.03 W
2026/09/23 11:30:49.162, 0, 91 %, 1897 MiB, 129.70 W
2026/09/23 11:30:49.165, 1, 87 %, 1899 MiB, 116.01 W
2026/09/23 11:30:49.166, 2, 91 %, 1971 MiB, 117.44 W
2026/09/23 11:30:49.167, 3, 93 %, 1741 MiB, 115.83 W
2026/09/23 11:30:59.170, 0, 92 %, 1737 MiB, 132.91 W
2026/09/23 11:30:59.171, 1, 87 %, 1739 MiB, 126.86 W
2026/09/23 11:30:59.173, 2, 90 %, 1775 MiB, 132.21 W
2026/09/23 11:30:59.174, 3, 93 %, 1739 MiB, 133.31 W
2026/09/23 11:31:09.177, 0, 91 %, 1737 MiB, 138.71 W
2026/09/23 11:31:09.178, 1, 88 %, 1739 MiB, 129.76 W
2026/09/23 11:31:09.178, 2, 90 %, 1775 MiB, 134.06 W
2026/09/23 11:31:09.179, 3, 94 %, 1739 MiB, 136.20 W
2026/09/23 11:31:19.182, 0, 91 %, 1739 MiB, 140.06 W
2026/09/23 11:31:19.183, 1, 88 %, 1739 MiB, 133.04 W
2026/09/23 11:31:19.184, 2, 91 %, 1775 MiB, 137.44 W
